position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,team_spread,implied_total,pred_fp,pred_vol,lo_80_fp,hi_80_fp,lo_90_fp,hi_90_fp,p_start,p_boom,star_bucket,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom,override_flag_type,override_confidence,override_reason,p_start_recal_preoverride,p_boom_recal_preoverride,pred_eff,med_vol,lo_50_vol,hi_50_vol,lo_80_vol,hi_80_vol,lo_90_vol,hi_90_vol,pred_tot,med_tot,lo_50_tot,hi_50_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,depth_chart_starter_floor,pred_pass_eff,lo_50_pass_eff,hi_50_pass_eff,lo_80_pass_eff,hi_80_pass_eff,lo_90_pass_eff,hi_90_pass_eff,pred_db,lo_50_db,hi_50_db,lo_80_db,hi_80_db,lo_90_db,hi_90_db,pred_rush,lo_50_rush,hi_50_rush,lo_80_rush,hi_80_rush,lo_90_rush,hi_90_rush,pred_carry,lo_50_carry,hi_50_carry,lo_80_carry,hi_80_carry,lo_90_carry,hi_90_carry
RB,00-0029892,Kyle Juszczyk,SF,ARI,2026_03_ARI_SF,2026,3,NA,NA,8.5,28,13.1253686836997,8.20792696142228,8.06031659945576,19.2032048272476,7.36235101450959,22.2775339052512,0.26010104094196,0.0870411534917752,b3,0.263157894736842,0.0825762452445148,strat_iso,platt_vol_vegas,NA,NA,NA,0.263157894736842,0.0825762452445148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0032104,Ameer Abdullah,JAX,NE,2026_03_NE_JAX,2026,3,NA,NA,3,24.25,7.27507658814044,8.28803337366148,2.17505340262053,13.3948764903584,1.47226879019895,16.4904319391385,0.0740737399765508,0.0256933134833073,b3,0.0658914728682171,0.0294364282285425,strat_iso,platt_vol_vegas,NA,NA,NA,0.0658914728682171,0.0294364282285425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0032764,Derrick Henry,BAL,DAL,2026_03_BAL_DAL,2026,3,NA,NA,3.5,28,18.6537118728799,19.1967086545266,9.406813488641,29.7495766894075,8.13258832128883,35.3621564045188,0.561971832389809,0.335022547839174,b1,0.548922056384743,0.405139111089085,strat_iso,platt_vol_vegas,NA,NA,NA,0.548922056384743,0.405139111089085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033280,Christian McCaffrey,SF,ARI,2026_03_ARI_SF,2026,3,NA,NA,8.5,28,16.8563456250667,16.6627307700033,8.49183871405973,26.8933801078548,7.33920733696329,31.9703756435304,0.477175034267743,0.258397014074547,b1,0.548922056384743,0.291938809685253,strat_iso,platt_vol_vegas,NA,NA,NA,0.548922056384743,0.291938809685253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033293,Aaron Jones,MIN,TB,2026_03_MIN_TB,2026,3,NA,NA,1.5,22,15.5735731161628,17.6367499755488,6.86555312666671,26.0228079415136,5.66558555188136,31.308305231625,0.416812047208206,0.218940546515583,b3,0.518518518518518,0.234291273223259,strat_iso,platt_vol_vegas,NA,NA,NA,0.518518518518518,0.234291273223259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033376,Patrick Ricard,NYG,TEN,2026_03_TEN_NYG,2026,3,NA,NA,2.5,21,7.52214367030032,8.27207584826,2.42907898290946,13.6335936857393,1.72725325346405,16.7249255425835,0.0778993913054743,0.0272863867306912,b3,0.0923913043478261,0.026771695351654,strat_iso,platt_vol_vegas,NA,NA,NA,0.0923913043478261,0.026771695351654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033526,Samaje Perine,CIN,PIT,2026_03_CIN_PIT,2026,3,NA,NA,3.5,23,8.62767818408291,8.67317302374546,3.36087192858138,14.9476103167314,2.63510456276207,18.1443979015754,0.0991805886084361,0.037555376740749,b3,0.0923913043478261,0.0378803920329758,strat_iso,platt_vol_vegas,NA,NA,NA,0.0923913043478261,0.0378803920329758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033906,Alvin Kamara,NO,LV,2026_03_LV_NO,2026,3,NA,NA,3,23.25,10.2543269169289,14.6524527812733,2.61801588312838,19.4175588901959,1.56573010029952,24.0525621773135,0.192110654091775,0.0937169288377538,b3,0.339111349036403,0.204462899823881,strat_iso,platt_vol_vegas,role_change_up,0.95,"Kamara returns to active lineup after knee injury, reclaiming lead RB role from Miller who is healthy-scratched.",0.244111349036403,0.109462899823881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0034844,Saquon Barkley,PHI,CHI,2026_03_PHI_CHI,2026,3,NA,NA,4.5,23,11.0883460630389,15.3833008220665,3.18411527016733,20.5730697738376,2.09491007007516,25.3706920216655,0.222941804050306,0.111544071760112,b2,0.198742358078603,0.0545769175082821,strat_iso,platt_vol_vegas,role_change_down,0.72,Shoulder injury limited Barkley's snaps in Week 2 with Bigsby getting significant work; potential opportunity shift if Barkley's status uncertain for Week 3.,0.270742358078603,0.126576917508282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0034975,Justice Hill,BAL,DAL,2026_03_BAL_DAL,2026,3,NA,NA,3.5,28,12.0196293924706,8.64266655194935,6.76595394977382,18.3238051365704,6.04199601360847,21.5126227264466,0.201376102072239,0.0737176113686917,b3,0.260869565217391,0.0788171243519621,strat_iso,platt_vol_vegas,NA,NA,NA,0.260869565217391,0.0788171243519621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
