position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,thresh_start,thresh_boom,pred_vol,pred_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,p_start,p_boom,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom,kickoff_et,run_ts,as_of,run_mode
QB,00-0036389,Jalen Hurts,PHI,LV,2025_15_LV_PHI,2025,15,NA,NA,20,25,6.93390120192036,5.478897839615014,-7.960795691954727,18.918591371184753,-11.401263039659716,22.35905871888974,0.5045,0.301,0.5045,0.28939625136807806,raw,platt,2025-12-14T18:00:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
QB,00-0034857,Josh Allen,BUF,NE,2025_15_BUF_NE,2025,15,NA,NA,20,25,5.434985499375528,5.484063749273873,-7.955629782295868,18.923757280843613,-11.396097130000857,22.3642246285486,0.497,0.2835,0.497,0.2717047092600588,raw,platt,2025-12-14T18:00:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
QB,00-0034796,Lamar Jackson,BAL,CIN,2025_15_BAL_CIN,2025,15,NA,Full Participation in Practice,20,25,5.216094959489634,6.1406353770180475,-7.299058154551694,19.580328908587788,-10.739525502256683,23.020796256292776,0.486,0.2675,0.486,0.2555827955847422,raw,platt,2025-12-14T18:00:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
QB,00-0037834,Brock Purdy,SF,TEN,2025_15_TEN_SF,2025,15,NA,NA,20,25,2.732476979241321,5.440006486453121,-7.99968704511662,18.879700018022863,-11.440154392821608,22.32016736572785,0.3925,0.201,0.3925,0.1892045352724007,raw,platt,2025-12-14T21:25:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
QB,00-0034855,Baker Mayfield,TB,ATL,2025_15_ATL_TB,2025,15,NA,Full Participation in Practice,20,25,3.0118187522395976,5.641338846542256,-7.798354685027485,19.081032378112,-11.238822032732473,22.521499725816987,0.383,0.1965,0.383,0.1847541984365822,raw,platt,2025-12-12T01:15:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
QB,00-0036355,Justin Herbert,LAC,KC,2025_15_LAC_KC,2025,15,NA,Limited Participation in Practice,20,25,4.158664629411894,3.7675361991765,-9.67215733239324,17.207229730746242,-13.112624680098229,20.64769707845123,0.3785,0.192,0.3785,0.18030971720243255,raw,platt,2025-12-14T18:00:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
QB,00-0039732,Bo Nix,DEN,GB,2025_15_GB_DEN,2025,15,NA,NA,20,25,4.43322297927373,1.977249713364824,-11.462443818204918,15.416943244934565,-14.902911165909906,18.857410592639553,0.359,0.187,0.359,0.17537842200041556,raw,platt,2025-12-14T21:25:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
QB,00-0040691,Jaxson Dart,NYG,WAS,2025_15_WAS_NYG,2025,15,NA,NA,20,25,5.32859997758589,2.3888910741760307,-11.050802457393711,15.828584605745771,-14.4912698050987,19.26905195345076,0.353,0.1695,0.353,0.15817959929918105,raw,platt,2025-12-14T18:00:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
QB,00-0036971,Trevor Lawrence,JAX,NYJ,2025_15_NYJ_JAX,2025,15,NA,Full Participation in Practice,20,25,3.48049574546877,3.8946121237084412,-9.5450814078613,17.334305655278182,-12.985548755566288,20.77477300298317,0.351,0.1745,0.351,0.16308363898422146,raw,platt,2025-12-14T18:00:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
QB,00-0039851,Drake Maye,NE,BUF,2025_15_BUF_NE,2025,15,NA,NA,20,25,3.5252468185164023,1.8092533396591683,-11.630440191910573,15.24894687122891,-15.070907539615561,18.689414218933898,0.3465,0.1715,0.3465,0.16014023962703644,raw,platt,2025-12-14T18:00:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
QB,00-0033106,Jared Goff,DET,LA,2025_15_DET_LA,2025,15,NA,NA,20,25,1.3804781114521651,4.714049788739686,-8.725643742830055,18.153743320309427,-12.166111090535043,21.594210668014416,0.317,0.1595,0.317,0.14839640626828346,raw,platt,2025-12-14T21:25:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
QB,00-0034869,Sam Darnold,SEA,IND,2025_15_IND_SEA,2025,15,NA,NA,20,25,2.153038976368353,3.7845874260989354,-9.655106105470805,17.224280957668675,-13.095573453175794,20.664748305373664,0.3045,0.1395,0.3045,0.1289358366509797,raw,platt,2025-12-14T21:25:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
QB,00-0033873,Patrick Mahomes,KC,LAC,2025_15_LAC_KC,2025,15,NA,Full Participation in Practice,20,25,2.6955190643510822,2.2563595564153127,-11.18333397515443,15.696053087985053,-14.623801322859418,19.13652043569004,0.303,0.1385,0.303,0.12796672447507687,raw,platt,2025-12-14T18:00:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
QB,00-0026498,Matthew Stafford,LA,DET,2025_15_DET_LA,2025,15,NA,NA,20,25,1.2569610358903043,2.521357539956473,-10.918335991613269,15.961051071526214,-14.358803339318257,19.401518419231202,0.2845,0.1445,0.2845,0.13378714912926368,raw,platt,2025-12-14T21:25:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
QB,00-0036442,Joe Burrow,CIN,BAL,2025_15_BAL_CIN,2025,15,NA,NA,20,25,1.6410442429142071,2.7102516505474727,-10.729441881022268,16.149945182117214,-14.169909228727256,19.590412529822203,0.2805,0.127,0.2805,0.1168504556729878,raw,platt,2025-12-14T18:00:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
QB,00-0039163,C.J. Stroud,HOU,ARI,2025_15_ARI_HOU,2025,15,NA,NA,20,25,2.374737851306567,1.7642409509920332,-11.675452580577709,15.203934482561774,-15.115919928282697,18.644401830266762,0.272,0.1205,0.272,0.11059147554063188,raw,platt,2025-12-14T18:00:00Z,2026-07-18 17:43:45,2025-12-10 20:15:00,hindcast
