position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,thresh_start,thresh_boom,pred_vol,pred_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,pred_fp,lo_80_fp,hi_80_fp,lo_90_fp,hi_90_fp,p_start,p_boom,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom,p_start_recal_preoverride,p_boom_recal_preoverride,override_flag_type,override_confidence,override_reason
QB,00-0039918,Caleb Williams,CHI,MIN,2026_02_MIN_CHI,2026,2,NA,NA,20,25,5.688858453456318,7.298228948789157,-6.02050654430767,20.616964441885983,-9.525305638385843,24.121763535964156,NA,NA,NA,NA,NA,0.5865,0.3565,0.5611256568323343,0.3454901046853109,platt_vol_vegas,platt,0.5611256568323343,0.3454901046853109,NA,NA,NA
QB,00-0037834,Brock Purdy,SF,MIA,2026_02_MIA_SF,2026,2,NA,NA,20,25,3.763018771553391,7.569244498048896,-5.749490995047932,20.887979991145723,-9.254290089126105,24.392779085223896,NA,NA,NA,NA,NA,0.506,0.2855,0.5248817144413773,0.2745518220829062,platt_vol_vegas,platt,0.5248817144413773,0.2745518220829062,NA,NA,NA
QB,00-0039910,Jayden Daniels,WAS,DAL,2026_02_WAS_DAL,2026,2,NA,NA,20,25,6.233314090188842,4.647223948143673,-8.671511544953155,17.9659594412405,-12.176310639031328,21.470758535318673,NA,NA,NA,NA,NA,0.4715,0.2555,0.49880819680980226,0.24479267383961725,platt_vol_vegas,platt,0.49880819680980226,0.24479267383961725,NA,NA,NA
QB,00-0033077,Dak Prescott,DAL,WAS,2026_02_WAS_DAL,2026,2,NA,NA,20,25,2.7436729793118264,7.559305883664274,-5.759429609432553,20.878041376761104,-9.264228703510726,24.382840470839277,NA,NA,NA,NA,NA,0.49,0.2725,0.4825468301489701,0.2616392889619001,platt_vol_vegas,platt,0.4825468301489701,0.2616392889619001,NA,NA,NA
QB,00-0040691,Jaxson Dart,NYG,LA,2026_02_NYG_LA,2026,2,NA,NA,20,25,6.340837663383896,3.8341114873549937,-9.484624005741834,17.15284698045182,-12.989423099820007,20.657646074529993,NA,NA,NA,NA,NA,0.5095,0.2885,0.44715084158511553,0.2775351961293068,platt_vol_vegas,platt,0.44715084158511553,0.2775351961293068,NA,NA,NA
QB,00-0036355,Justin Herbert,LAC,LV,2026_02_LV_LAC,2026,2,NA,NA,20,25,4.975388991511446,4.920097910452144,-8.398637582644684,18.238833403548973,-11.903436676722857,21.743632497627146,NA,NA,NA,NA,NA,0.452,0.2325,0.43883449926707413,0.2220742431887754,platt_vol_vegas,platt,0.43883449926707413,0.2220742431887754,NA,NA,NA
QB,00-0034796,Lamar Jackson,BAL,NO,2026_02_NO_BAL,2026,2,NA,NA,20,25,3.13700236036854,7.0675340979545815,-6.251201395142246,20.38626959105141,-9.756000489220419,23.891068685129582,NA,NA,NA,NA,NA,0.435,0.2415,0.43656808413627124,0.23095361109506457,platt_vol_vegas,platt,0.43656808413627124,0.23095361109506457,NA,NA,NA
QB,00-0033873,Patrick Mahomes,KC,IND,2026_02_IND_KC,2026,2,NA,Full Participation in Practice,20,25,3.120242122223089,4.938007790903464,-8.380727702193363,18.256743284000294,-11.885526796271536,21.761542378078467,NA,NA,NA,NA,NA,0.397,0.2015,0.4017626947027874,0.19159850760598418,platt_vol_vegas,platt,0.4017626947027874,0.19159850760598418,NA,NA,NA
QB,00-0039163,C.J. Stroud,HOU,CIN,2026_02_CIN_HOU,2026,2,NA,NA,20,25,2.6963386570670744,5.742035755544858,-7.576699737551969,19.060771248641686,-11.081498831630142,22.56557034271986,NA,NA,NA,NA,NA,0.433,0.2355,0.3607102903848349,0.2250325091401514,platt_vol_vegas,platt,0.3607102903848349,0.2250325091401514,NA,NA,NA
QB,00-0026498,Matthew Stafford,LA,NYG,2026_02_NYG_LA,2026,2,NA,NA,20,25,1.148995278397084,5.246522388923253,-8.072213104173574,18.56525788202008,-11.577012198251747,22.070056976098254,NA,NA,NA,NA,NA,0.3245,0.156,0.35275616581630537,0.14720414882077448,platt_vol_vegas,platt,0.35275616581630537,0.14720414882077448,NA,NA,NA
